<<<<<<< HEAD
,predicted_power
1969-01-01 00:00:00,0.0645200067812855
1969-01-01 01:00:00,0.06052595892367987
1969-01-01 02:00:00,0.07083199948114056
1969-01-01 03:00:00,0.08251025049608961
1969-01-01 04:00:00,0.10411773328677275
1969-01-01 05:00:00,0.1250647022130717
1969-01-01 06:00:00,0.13208110185962818
1969-01-01 07:00:00,0.1422373453155707
1969-01-01 08:00:00,0.14945750894327103
1969-01-01 09:00:00,0.1440487527667863
1969-01-01 10:00:00,0.13327270862578922
1969-01-01 11:00:00,0.1060929315719314
1969-01-01 12:00:00,0.09004869682578166
1969-01-01 13:00:00,0.09314037877557475
1969-01-01 14:00:00,0.08554803091481508
1969-01-01 15:00:00,0.06701771333057671
1969-01-01 16:00:00,0.06228569586216083
1969-01-01 17:00:00,0.06389311048662222
1969-01-01 18:00:00,0.06079272035977676
1969-01-01 19:00:00,0.07007340531103033
1969-01-01 20:00:00,0.0746993705438315
1969-01-01 21:00:00,0.09310033456082589
1969-01-01 22:00:00,0.15889797879369366
1969-01-01 23:00:00,0.22962402313271926
1969-01-02 00:00:00,0.2680495646797722
1969-01-02 01:00:00,0.31191588635935746
1969-01-02 02:00:00,0.39375384374111255
1969-01-02 03:00:00,0.47393247709797315
1969-01-02 04:00:00,0.5297441856410426
1969-01-02 05:00:00,0.5627084995008356
1969-01-02 06:00:00,0.6012453634218037
1969-01-02 07:00:00,0.6278120216391683
1969-01-02 08:00:00,0.6161013432981154
1969-01-02 09:00:00,0.5813857778759962
1969-01-02 10:00:00,0.5319399182279435
1969-01-02 11:00:00,0.46723828105030496
1969-01-02 12:00:00,0.4504414238413378
1969-01-02 13:00:00,0.4060150037295467
1969-01-02 14:00:00,0.363817879359531
1969-01-02 15:00:00,0.3422249851864151
1969-01-02 16:00:00,0.2901648892554164
1969-01-02 17:00:00,0.2589960853650715
1969-01-02 18:00:00,0.21948439788844293
1969-01-02 19:00:00,0.17114679897638976
1969-01-02 20:00:00,0.15462848745758045
1969-01-02 21:00:00,0.14454097094361196
1969-01-02 22:00:00,0.14959932026878509
1969-01-02 23:00:00,0.16911911062877844
1969-01-03 00:00:00,0.16969002032274538
1969-01-03 01:00:00,0.15744000877042302
1969-01-03 02:00:00,0.17680540787418236
1969-01-03 03:00:00,0.20486595505780866
1969-01-03 04:00:00,0.22832119301967857
1969-01-03 05:00:00,0.23010999449494135
1969-01-03 06:00:00,0.2216380521712869
1969-01-03 07:00:00,0.20121365812029313
1969-01-03 08:00:00,0.1857698754173655
1969-01-03 09:00:00,0.15520045108720443
1969-01-03 10:00:00,0.10931238115809239
1969-01-03 11:00:00,0.08839884727708464
1969-01-03 12:00:00,0.06374052249901842
1969-01-03 13:00:00,0.03553166411578616
1969-01-03 14:00:00,0.030665540309104927
1969-01-03 15:00:00,0.03096576522450676
1969-01-03 16:00:00,0.037260106872014635
1969-01-03 17:00:00,0.03781909002417491
1969-01-03 18:00:00,0.03909981343542068
1969-01-03 19:00:00,0.041513555142573405
1969-01-03 20:00:00,0.04681985363650726
1969-01-03 21:00:00,0.04678170532106111
1969-01-03 22:00:00,0.05470943336598404
1969-01-03 23:00:00,0.06414383292991385
1969-01-04 00:00:00,0.06861134229393599
1969-01-04 01:00:00,0.06268363704994752
1969-01-04 02:00:00,0.08895541777787938
1969-01-04 03:00:00,0.12241023063630009
1969-01-04 04:00:00,0.16722876270414716
1969-01-04 05:00:00,0.2183402772324413
1969-01-04 06:00:00,0.2170872370740744
1969-01-04 07:00:00,0.21903730284026207
1969-01-04 08:00:00,0.22205950217091908
1969-01-04 09:00:00,0.2557538188115678
1969-01-04 10:00:00,0.2741133845645045
1969-01-04 11:00:00,0.2559173838710681
1969-01-04 12:00:00,0.24293613871829953
1969-01-04 13:00:00,0.24765427841892707
1969-01-04 14:00:00,0.2039326610600757
1969-01-04 15:00:00,0.16861169319972008
1969-01-04 16:00:00,0.14483368234266616
1969-01-04 17:00:00,0.10179109965207485
1969-01-04 18:00:00,0.09437906613874274
1969-01-04 19:00:00,0.1174320470255535
1969-01-04 20:00:00,0.20416318718728166
1969-01-04 21:00:00,0.2524476094194967
1969-01-04 22:00:00,0.262471239740004
1969-01-04 23:00:00,0.2550476082549219
1969-01-05 00:00:00,0.22875433416946217
1969-01-05 01:00:00,0.22736082092237025
1969-01-05 02:00:00,0.22312994815133497
1969-01-05 03:00:00,0.23663253579697757
1969-01-05 04:00:00,0.2447216976316463
1969-01-05 05:00:00,0.2581940616279346
1969-01-05 06:00:00,0.2563527777620757
1969-01-05 07:00:00,0.24173487193384935
1969-01-05 08:00:00,0.2279741417395988
1969-01-05 09:00:00,0.22130006201147168
1969-01-05 10:00:00,0.18477838793848012
1969-01-05 11:00:00,0.12740634105452595
1969-01-05 12:00:00,0.08334435205677285
1969-01-05 13:00:00,0.05609792434089839
1969-01-05 14:00:00,0.04042358956894478
1969-01-05 15:00:00,0.028487166353481315
1969-01-05 16:00:00,0.03582146950234875
1969-01-05 17:00:00,0.040398435228218926
1969-01-05 18:00:00,0.04452789546351783
1969-01-05 19:00:00,0.050352542579534504
1969-01-05 20:00:00,0.07454469810744753
1969-01-05 21:00:00,0.08592691206119743
1969-01-05 22:00:00,0.08694341946561632
1969-01-05 23:00:00,0.09037106272864306
1969-01-06 00:00:00,0.0963378831554823
1969-01-06 01:00:00,0.08026409062463374
1969-01-06 02:00:00,0.10759223527984507
1969-01-06 03:00:00,0.13659530429159317
1969-01-06 04:00:00,0.15984861595908595
1969-01-06 05:00:00,0.17190115124538474
1969-01-06 06:00:00,0.1760884939765967
1969-01-06 07:00:00,0.18355498103462675
1969-01-06 08:00:00,0.19412524020168642
1969-01-06 09:00:00,0.20071384520552943
1969-01-06 10:00:00,0.16062659805223456
1969-01-06 11:00:00,0.10041231457509076
1969-01-06 12:00:00,0.06612887243014477
1969-01-06 13:00:00,0.05096819772427993
1969-01-06 14:00:00,0.050095566636398386
1969-01-06 15:00:00,0.04792794511479746
1969-01-06 16:00:00,0.054187473347770874
1969-01-06 17:00:00,0.06610357573062077
